frame,time_s,faces,emotions,activity,motion_score,motion_z,anomaly
1,0.033,1,unknown,parado,0.0,0.0,0
2,0.067,1,unknown,parado,0.221115,0.0,0
3,0.1,1,unknown,movimento,3.384022,1.0,0
4,0.133,1,unknown,movimento,3.736261,0.8156,0
5,0.167,1,unknown,movimento,4.065945,0.7895,0
6,0.2,1,unknown,movimento,3.966025,0.6165,0
7,0.233,1,unknown,movimento,4.161773,0.6561,0
8,0.267,1,unknown,parado,0.331656,-1.5308,0
9,0.3,1,unknown,movimento,4.009517,0.6488,0
10,0.333,2,unknown|unknown,movimento,3.819061,0.4905,0
11,0.367,2,unknown|unknown,movimento,3.35727,0.1753,0
12,0.4,2,unknown|unknown,movimento,3.365022,0.1721,0
13,0.433,2,unknown|unknown,parado,2.527472,-0.4162,0
14,0.467,2,unknown|unknown,parado,0.251558,-1.7648,0
15,0.5,1,unknown,parado,2.526954,-0.2175,0
16,0.533,1,unknown,parado,2.423111,-0.2796,0
17,0.567,1,unknown,parado,2.356782,-0.3161,0
18,0.6,1,unknown,parado,2.528856,-0.1822,0
19,0.633,2,unknown|unknown,movimento,3.364905,0.443,0
20,0.667,2,unknown|unknown,parado,0.415997,-1.6719,0
21,0.7,2,unknown|unknown,movimento,3.870934,0.8469,0
22,0.733,1,unknown,movimento,3.873661,0.8147,0
23,0.767,2,unknown|unknown,movimento,4.028943,0.8924,0
24,0.8,2,unknown|unknown,movimento,3.776724,0.6796,0
25,0.833,2,unknown|unknown,movimento,3.361229,0.3542,0
26,0.867,2,unknown|unknown,parado,0.09819,-1.9582,0
27,0.9,2,unknown|unknown,movimento,3.36023,0.4029,0
28,0.933,1,unknown,movimento,3.363971,0.3969,0
29,0.967,2,unknown|unknown,movimento,3.419686,0.4293,0
30,1.0,2,unknown|unknown,movimento,3.570591,0.5321,0
31,1.033,1,unknown,movimento,3.531934,0.4918,0
32,1.067,1,unknown,parado,0.288468,-1.8856,0
33,1.1,1,unknown,movimento,3.353091,0.3916,0
34,1.133,1,unknown,movimento,3.436082,0.446,0
35,1.167,1,unknown,movimento,3.817814,0.7213,0
36,1.2,1,unknown,movimento,3.576808,0.5258,0
37,1.233,1,unknown,movimento,3.616237,0.5463,0
38,1.267,1,unknown,parado,0.133972,-2.0328,0
39,1.3,1,unknown,movimento,3.909052,0.78,0
40,1.333,1,unknown,movimento,4.014146,0.8402,0
41,1.367,1,unknown,movimento,4.38326,1.0883,0
42,1.4,1,unknown,movimento,4.50875,1.149,0
43,1.433,2,unknown|unknown,movimento,5.154996,1.5656,0
44,1.467,2,unknown|unknown,parado,0.396873,-1.8385,0
45,1.5,2,unknown|unknown,movimento,5.401369,1.6628,0
46,1.533,1,unknown,movimento,5.294862,1.5283,0
47,1.567,2,unknown|unknown,movimento,5.221481,1.4282,0
48,1.6,1,unknown,movimento,5.169491,1.3503,0
49,1.633,1,unknown,movimento,4.992682,1.1995,0
50,1.667,1,unknown,parado,0.603936,-1.673,0
51,1.7,1,unknown,movimento,5.249738,1.3407,0
52,1.733,1,unknown,movimento,5.465757,1.4363,0
53,1.767,2,unknown|unknown,movimento,6.062087,1.748,0
54,1.8,1,unknown,movimento,6.140575,1.7286,0
55,1.833,1,unknown,movimento,5.902114,1.5314,0
56,1.867,1,unknown,parado,0.163193,-1.8864,0
57,1.9,1,unknown,movimento,5.728937,1.3879,0
58,1.933,2,unknown|unknown,movimento,5.918008,1.4577,0
59,1.967,2,unknown|unknown,movimento,5.483605,1.1791,0
60,2.0,2,unknown|unknown,movimento,5.681015,1.2651,0
61,2.033,2,unknown|unknown,movimento,5.59417,1.1901,0
62,2.067,2,unknown|unknown,parado,0.199767,-1.8477,0
63,2.1,1,unknown,movimento,5.38656,1.0604,0
64,2.133,1,unknown,movimento,4.968224,0.8136,0
65,2.167,1,unknown,movimento,5.231769,0.9482,0
66,2.2,1,unknown,movimento,5.111882,0.8684,0
67,2.233,1,unknown,movimento,5.112248,0.8571,0
68,2.267,1,unknown,parado,0.138599,-1.8973,0
69,2.3,1,unknown,movimento,4.751089,0.6605,0
70,2.333,2,unknown|unknown,movimento,5.245412,0.9239,0
71,2.367,2,unknown|unknown,movimento,4.990117,0.7723,0
72,2.4,2,unknown|unknown,movimento,5.395904,0.9857,0
73,2.433,2,unknown|unknown,movimento,5.316865,0.9292,0
74,2.467,2,unknown|unknown,parado,0.414749,-1.769,0
75,2.5,2,unknown|unknown,movimento,5.76667,1.169,0
76,2.533,1,unknown,movimento,5.523081,1.0206,0
77,2.567,2,unknown|unknown,movimento,5.12303,0.7916,0
78,2.6,1,unknown,movimento,5.131321,0.7877,0
79,2.633,1,unknown,movimento,5.174481,0.803,0
80,2.667,1,unknown,parado,0.215007,-1.8913,0
81,2.7,1,unknown,movimento,5.10001,0.7653,0
82,2.733,1,unknown,movimento,5.313716,0.8725,0
83,2.767,1,unknown,movimento,5.025194,0.708,0
84,2.8,1,unknown,movimento,5.072285,0.7271,0
85,2.833,2,unknown|unknown,movimento,5.506042,0.9549,0
86,2.867,1,unknown,parado,0.381934,-1.8207,0
87,2.9,2,unknown|unknown,movimento,5.213041,0.7963,0
88,2.933,2,unknown|unknown,movimento,5.502,0.9432,0
89,2.967,2,unknown|unknown,movimento,5.909055,1.1494,0
90,3.0,1,unknown,movimento,5.546908,0.9424,0
91,3.033,2,unknown|unknown,movimento,5.476592,0.895,0
92,3.067,2,unknown|unknown,parado,0.164352,-1.9962,0
93,3.1,1,unknown,movimento,5.286889,0.7776,0
94,3.133,2,unknown|unknown,movimento,5.177333,0.7075,0
95,3.167,2,unknown|unknown,movimento,5.28766,0.7575,0
96,3.2,2,unknown|unknown,movimento,5.231684,0.7176,0
97,3.233,2,unknown|unknown,movimento,5.356911,0.7753,0
98,3.267,2,unknown|unknown,parado,0.139009,-2.0158,0
99,3.3,2,unknown|unknown,movimento,5.424927,0.7998,0
100,3.333,2,unknown|unknown,movimento,5.653828,0.9067,0
101,3.367,2,unknown|unknown,movimento,5.249184,0.6795,0
102,3.4,2,unknown|unknown,movimento,5.46853,0.781,0
103,3.433,3,unknown|unknown|unknown,movimento,5.876401,0.9747,0
104,3.467,3,unknown|unknown|unknown,parado,0.177855,-2.0249,0
105,3.5,2,unknown|unknown,movimento,5.742835,0.8843,0
106,3.533,2,unknown|unknown,movimento,5.95117,0.9722,0
107,3.567,1,unknown,movimento,5.961087,0.9559,0
108,3.6,2,unknown|unknown,movimento,6.003347,0.9568,0
109,3.633,3,unknown|unknown|unknown,movimento,6.130681,1.0027,0
110,3.667,3,unknown|unknown|unknown,parado,0.168322,-2.1018,0
111,3.7,3,unknown|unknown|unknown,movimento,6.041544,0.9378,0
112,3.733,3,unknown|unknown|unknown,movimento,6.2651,1.0338,0
113,3.767,3,unknown|unknown|unknown,movimento,6.274028,1.0196,0
114,3.8,3,unknown|unknown|unknown,movimento,6.710359,1.2165,0
115,3.833,3,unknown|unknown|unknown,parado,4.243549,-0.0413,0
116,3.867,3,unknown|unknown|unknown,parado,0.23468,-2.0842,0
117,3.9,3,unknown|unknown|unknown,movimento,6.912964,1.287,0
118,3.933,3,unknown|unknown|unknown,movimento,6.684536,1.1461,0
119,3.967,3,unknown|unknown|unknown,movimento,6.452662,1.0083,0
120,4.0,3,unknown|unknown|unknown,movimento,6.262961,0.8953,0
121,4.033,3,unknown|unknown|unknown,movimento,6.75438,1.1159,0
122,4.067,4,unknown|unknown|unknown|unknown,parado,0.448032,-2.0131,0
123,4.1,2,unknown|unknown,movimento,6.715869,1.0743,0
124,4.133,4,unknown|unknown|unknown|unknown,movimento,6.875769,1.1282,0
125,4.167,4,unknown|unknown|unknown|unknown,movimento,6.31323,0.8355,0
126,4.2,4,unknown|unknown|unknown|unknown,movimento,6.39434,0.8576,0
